LME_nb,ECO_NAME,group,observed_period,simulated_period,simulated_scenario,observed_tonnes_yr,simulated_tonnes_yr,ratio_simulated_observed,matched_cells,plot_eligible
23,Baltic Sea,total,1995-2004,2015-2019,F040,1014316.97673516,440295.294919759,0.434080573448514,31,TRUE
24,Celtic-Biscay Shelf,total,1995-2004,2015-2019,F040,1620929.13328501,1338181.76021232,0.825564630021999,79,TRUE
25,Iberian Coastal,total,1995-2004,2015-2019,F040,313931.036441925,901015.693326208,2.8701070895642,30,TRUE
26,Mediterranean Sea,total,1995-2004,2015-2019,F040,1563508.5742467,2520574.27689693,1.61212692940385,197,TRUE
27,Canary Current,total,1995-2004,2015-2019,F040,2761269.36888531,3961810.29466368,1.43477863453178,92,TRUE
28,Guinea Current,total,1995-2004,2015-2019,F040,2245872.39385572,1340479.54599535,0.596863628433496,150,TRUE
29,Benguela Current,total,1995-2004,2015-2019,F040,1652507.15013964,5796730.05801405,3.50783962267528,123,TRUE
30,Agulhas Current,total,1995-2004,2015-2019,F040,702075.957487594,2290012.67532215,3.26177338918862,201,TRUE
31,Somali Coastal Current,total,1995-2004,2015-2019,F040,368059.982910034,1041029.79892712,2.82842429838831,58,TRUE
32,Arabian Sea,total,1995-2004,2015-2019,F040,5749679.58321987,5179431.34480369,0.900820866595694,304,TRUE
33,Red Sea,total,1995-2004,2015-2019,F040,2089467.38299642,31675.8857225126,0.0151597895139609,25,TRUE
34,Bay of Bengal,total,1995-2004,2015-2019,F040,5832796.51725594,2996928.2449423,0.513806411054471,271,TRUE
35,Gulf of Thailand,total,1995-2004,2015-2019,F040,1471812.47223678,616302.677215037,0.418737229667862,22,TRUE
36,South China Sea,total,1995-2004,2015-2019,F040,8076870.68961549,4397492.62152932,0.54445499878848,235,TRUE
37,Sulu-Celebes Sea,total,1995-2004,2015-2019,F040,1781561.15574865,927110.37227492,0.520392111875233,60,TRUE
38,Indonesian Sea,total,1995-2004,2015-2019,F040,2929467.95477956,5083707.14117236,1.73536874942703,127,TRUE
39,North Australian Shelf,total,1995-2004,2015-2019,F040,2339.03413483884,1851266.59103222,791.466256716161,47,TRUE
40,Northeast Australian Shelf,total,1995-2004,2015-2019,F040,289375.506487822,185888.016997986,0.64237647219741,98,TRUE
41,East Central Australian Shelf,total,1995-2004,2015-2019,F040,24738.9302630383,533589.360116922,21.5688129779056,50,TRUE
42,Southeast Australian Shelf,total,1995-2004,2015-2019,F040,108677.392216191,2661755.63812045,24.4922663659929,115,TRUE
43,South West Australian Shelf,total,1995-2004,2015-2019,F040,101657.73554049,999775.192520876,9.83471830456684,92,TRUE
44,West Central Australian Shelf,total,1995-2004,2015-2019,F040,36747.7515657224,179628.857733116,4.88815914116145,52,TRUE
45,Northwest Australian Shelf,total,1995-2004,2015-2019,F040,129194.09197514,1692530.33970316,13.1006790931961,72,TRUE
46,New Zealand Shelf,total,1995-2004,2015-2019,F040,622072.039425061,1815793.44550251,2.91894399751631,91,TRUE
47,East China Sea,total,1995-2004,2015-2019,F040,4294392.03597683,1933037.02518214,0.45013054443746,62,TRUE
48,Yellow Sea,total,1995-2004,2015-2019,F040,3460898.83367189,1250725.33155078,0.361387429006067,30,TRUE
