lon,lat,group,2015-2019
-179.5,-26.5,demersals,4.46441250929405e-07
-179.5,-26.5,total,0.0771131895722717
-179.5,-25.5,smallPel,0.0525432598011886
-179.5,-25.5,largePel,1.13910261933018e-32
-179.5,-25.5,demersals,5.97698798388786e-07
-179.5,-25.5,total,0.052543857499987
-179.5,-24.5,smallPel,0.0495927790611732
-179.5,-24.5,largePel,1.62101737649826e-34
-179.5,-24.5,demersals,5.07677198492274e-07
-179.5,-24.5,total,0.0495932867383717
-179.5,-23.5,smallPel,0.053266310462456
-179.5,-23.5,largePel,3.05995617684322e-35
-179.5,-23.5,demersals,6.53206131257814e-07
-179.5,-23.5,total,0.0532669636685873
-179.5,-22.5,smallPel,0.0623329746326797
-179.5,-22.5,largePel,1.72690587696761e-34
-179.5,-22.5,demersals,6.62423421583168e-07
-179.5,-22.5,total,0.0623336370561013
-179.5,-21.5,smallPel,0.065331512063194
-179.5,-21.5,largePel,2.63810064183003e-34
-179.5,-21.5,demersals,5.5847035713478e-07
-179.5,-21.5,total,0.0653320705335511
-179.5,-20.5,smallPel,0.067179786296691
-179.5,-20.5,largePel,1.19175597978851e-32
-179.5,-20.5,demersals,5.29111443566079e-07
-179.5,-20.5,total,0.0671803154081345
-179.5,-19.5,smallPel,0.0791819877507532
-179.5,-19.5,largePel,2.82681236299901e-29
-179.5,-19.5,demersals,6.6168283215441e-07
-179.5,-19.5,total,0.0791826494335853
-179.5,-18.5,smallPel,0.117197931620441
-179.5,-18.5,largePel,4.53236215875714e-22
-179.5,-18.5,demersals,2.01464293393715e-07
-179.5,-18.5,total,0.117198133084734
-179.5,-17.5,smallPel,0.19437485106844
-179.5,-17.5,largePel,1.22821910527284e-13
-179.5,-17.5,demersals,0.0173424197796193
-179.5,-17.5,total,0.211717270848182
-179.5,-16.5,smallPel,0.196492468526404
-179.5,-16.5,largePel,7.70246019955755e-19
-179.5,-16.5,demersals,0.00343230331927392
-179.5,-16.5,total,0.199924771845678
-179.5,-15.5,smallPel,0.109879437335014
-179.5,-15.5,largePel,2.68549623558435e-25
-179.5,-15.5,demersals,7.37797796220954e-08
-179.5,-15.5,total,0.109879511114794
-179.5,-14.5,smallPel,0.0766953848961598
-179.5,-14.5,largePel,6.14883521412032e-30
-179.5,-14.5,demersals,5.55657517432661e-07
-179.5,-14.5,total,0.0766959405536772
-179.5,-13.5,smallPel,0.0523261119215438
-179.5,-13.5,largePel,6.77892439783681e-35
-179.5,-13.5,demersals,5.76420743812868e-07
-179.5,-13.5,total,0.0523266883422877
-179.5,-12.5,smallPel,0.04178170500676
-179.5,-12.5,largePel,2.81124339814359e-41
-179.5,-12.5,demersals,3.31774355800959e-07
-179.5,-12.5,total,0.0417820367811158
-179.5,-11.5,smallPel,0.0299469754949539
-179.5,-11.5,largePel,1.10070759295297e-45
-179.5,-11.5,demersals,6.56876808969387e-07
-179.5,-11.5,total,0.0299476323717629
-179.5,-10.5,smallPel,0.0225075422653971
-179.5,-10.5,largePel,1.12132909565247e-43
-179.5,-10.5,demersals,1.19668330330275e-06
-179.5,-10.5,total,0.0225087389487004
-179.5,-9.5,smallPel,0.00742805024474167
-179.5,-9.5,largePel,9.09266382732111e-42
-179.5,-9.5,demersals,1.82494094840652e-06
-179.5,-9.5,total,0.00742987518569007
-179.5,-8.5,smallPel,0.00230692231560452
-179.5,-8.5,largePel,1.79122522644437e-40
-179.5,-8.5,demersals,1.54431573168238e-06
-179.5,-8.5,total,0.0023084666313362
-179.5,-7.5,smallPel,0.000994415082509428
-179.5,-7.5,largePel,2.12684324151209e-37
-179.5,-7.5,demersals,1.47687343140093e-06
-179.5,-7.5,total,0.000995891955940829
-179.5,-6.5,smallPel,0.00199864772193528
-179.5,-6.5,largePel,1.25663030206584e-39
-179.5,-6.5,demersals,1.5002131895251e-06
-179.5,-6.5,total,0.00200014793512481
-179.5,-5.5,smallPel,0.00621943593346748
-179.5,-5.5,largePel,1.40057316305426e-51
-179.5,-5.5,demersals,1.73185672111417e-06
-179.5,-5.5,total,0.0062211677901886
-179.5,-4.5,smallPel,0.0237219855387767
-179.5,-4.5,largePel,3.00133868112398e-70
-179.5,-4.5,demersals,2.19795512367361e-06
-179.5,-4.5,total,0.0237241834939004
-179.5,-3.5,smallPel,0.0446884322083266
-179.5,-3.5,largePel,4.64197419448125e-49
-179.5,-3.5,demersals,2.34061935979059e-06
-179.5,-3.5,total,0.0446907728276864
-179.5,-2.5,smallPel,0.0972961398683566
-179.5,-2.5,largePel,7.92816081758197e-25
